company_id,name,ticker,industry
1,"Pierce, Luna and Johnson",HWJ,"Production assistant, radio"
2,Peterson Group,URX,Control and instrumentation engineer
3,Taylor-Murray,XAG,"Scientist, biomedical"
4,Contreras-Thompson,UUC,"Journalist, magazine"
5,"Mccall, Carson and Benton",NVW,Passenger transport manager
6,Smith-Gomez,WTA,"Teacher, English as a foreign language"
7,"Young, Pearson and Smith",VZU,Historic buildings inspector/conservation officer
8,Parker and Sons,SFG,Patent examiner
9,Guzman Ltd,CNF,Artist
10,"Hunter, Andrews and Murphy",STJ,"Scientist, research (medical)"
